tconst,language,title type,primary title,original title,isAdult,start year,end year,runtime minutes,genres,averageRating,numVotes
tt0127637,English,movie,Land of the Free,Land of the Free,0,1998,\N,100,"Action,Thriller",4.5,418
tt0127640,English,movie,Laserhawk,Laserhawk,0,1997,\N,99,"Action,Adventure,Sci-Fi",4,590
tt0127642,English,movie,Lash of the Whip,Lash of the Whip,0,1926,\N,50,Western,4.1,19
tt0127643,English,movie,The Last Road,The Last Road,0,1997,\N,90,Drama,5.1,83
tt0127656,English,movie,Lightning Triggers,Lightning Triggers,0,1935,\N,58,Western,4.2,12
tt0127666,English,movie,Look-Out Sister,Look-Out Sister,0,1947,\N,63,"Music,Western",5.9,58
tt0127702,English,movie,The Night Caller,The Night Caller,0,1998,\N,91,"Crime,Drama,Horror",5.2,493
tt0127719,English,movie,Panic,Panic,0,1963,\N,69,"Crime,Drama",5.8,91
tt0127722,English,movie,Another Day in Paradise,Another Day in Paradise,0,1998,\N,101,"Crime,Drama,Thriller",6.5,8905
tt0127723,English,movie,Can't Hardly Wait,Can't Hardly Wait,0,1998,\N,100,"Comedy,Romance",6.5,51833
tt0127745,English,movie,The Puppetoon Movie,The Puppetoon Movie,0,1987,\N,79,"Animation,Family",7.1,254
tt0127751,English,movie,Recoil,Recoil,0,1998,\N,96,Action,5.3,687
tt0127759,English,movie,L.E.T.H.A.L. Ladies: Return to Savage Beach,L.E.T.H.A.L. Ladies: Return to Savage Beach,0,1998,\N,98,"Action,Adventure",3.7,1430
tt0127760,English,movie,Ride the Tiger,Ride the Tiger,0,1970,\N,96,Action,5.3,10
tt0127807,English,movie,The Screentest Girls,The Screentest Girls,0,1969,\N,64,Drama,6.5,60
tt0127819,English,movie,The Secret Sex Lives of Romeo and Juliet,The Secret Sex Lives of Romeo and Juliet,0,1969,\N,96,Comedy,4.4,268
tt0127834,English,movie,Seven Years Bad Luck,Seven Years Bad Luck,0,1921,\N,62,Comedy,7.1,1317
tt0127851,English,movie,The Sex Perils of Paulette,The Sex Perils of Paulette,0,1965,\N,66,Drama,4.4,140
tt0127901,English,movie,Starstruck,Starstruck,0,1998,\N,90,Drama,4.7,321
tt0127914,English,movie,Freak Talks About Sex,Freak Talks About Sex,0,1999,\N,90,Comedy,5.8,674
tt0127919,English,movie,Tale of the Mummy,Tale of the Mummy,0,1998,\N,88,"Adventure,Fantasy,Horror",4,3365
tt0127933,English,movie,The Tichborne Claimant,The Tichborne Claimant,0,1998,\N,98,Drama,6,217
tt0127935,English,movie,Todas hieren,Todas hieren,0,1998,\N,82,Drama,5.9,29
tt0127939,English,movie,Threesome,Threesome,0,1970,\N,90,Drama,5.1,21
tt0127952,English,movie,Unmade Beds,Unmade Beds,0,1997,\N,95,"Comedy,Drama",6.6,328
tt0127969,English,movie,Walking to the Waterline,Walking to the Waterline,0,1998,\N,100,Drama,6.4,318
tt0127970,English,movie,Warkill,Warkill,0,1968,\N,100,"Drama,War",6.2,78
tt0128037,English,movie,All in Good Taste,All in Good Taste,0,1983,\N,85,Comedy,2.9,510
tt0128038,English,movie,Allie & Me,Allie & Me,0,1997,\N,85,Comedy,6,119
tt0128059,English,movie,Aurora,Aurora,0,1998,\N,87,"Adventure,Sci-Fi",3.5,218
tt0128077,English,movie,Bio-Tech Warrior,Bio-Tech Warrior,0,1996,\N,81,"Action,Sci-Fi",6.1,42
tt0128078,English,movie,The Black Hand Gang,The Black Hand Gang,0,1930,\N,63,Comedy,4.8,26
tt0128083,English,movie,The Boy Who Saved Christmas,The Boy Who Saved Christmas,0,1998,\N,94,"Comedy,Family,Fantasy",3.1,191
tt0128089,English,movie,Rockabilly Vampire,Rockabilly Vampire,0,1996,\N,90,Comedy,4,221
tt0128119,English,movie,Chudo s kosichkami,Chudo s kosichkami,0,1976,\N,78,"Drama,Sport",5.9,21
tt0128137,English,movie,The Confession,The Confession,0,1999,\N,114,"Drama,Thriller",6,2639
tt0128154,English,movie,Daybreak,Daybreak,0,2002,\N,87,"Crime,Mystery,Thriller",7.7,20
tt0128158,English,movie,Deadfall,Deadfall,0,2000,\N,86,Horror,4.8,102
tt0128165,English,movie,Blazin',Blazin',0,2001,\N,100,"Action,Crime",4,73
tt0128170,English,movie,The Dream Catcher,The Dream Catcher,0,1999,\N,99,Drama,6.8,599
tt0128214,English,movie,"First Love, Last Rites","First Love, Last Rites",0,1997,\N,94,"Drama,Romance",5.5,348
tt0128228,English,movie,Galloping Gallagher,Galloping Gallagher,0,1924,\N,50,Western,5.7,14
tt0128232,English,movie,Ghost Keeper,Ghostkeeper,0,1981,\N,89,"Drama,Horror,Thriller",5.1,1173
tt0128239,English,movie,Grey Owl,Grey Owl,0,1999,\N,118,"Biography,Drama,Western",6,3877
tt0128241,English,movie,The Guest: An Episode in the Life of Eugène Marais,The Guest: An Episode in the Life of Eug√®ne Marais,0,1977,\N,103,"Biography,Drama",6.9,11
tt0128243,English,movie,Gunmen of Abilene,Gunmen of Abilene,0,1950,\N,60,Western,6.3,86
tt0128245,English,movie,Guy Maddin: Waiting for Twilight,Guy Maddin: Waiting for Twilight,0,1997,\N,60,"Biography,Documentary",7.1,139
tt0128246,English,movie,H,H,0,1990,\N,94,Drama,6.3,164
tt0128256,English,movie,The Homecoming,The Homecoming,0,1996,\N,63,Drama,5.4,67
tt0128257,English,movie,Horsey,Horsey,0,1997,\N,94,"Drama,Music,Romance",4.8,79
tt0128271,English,movie,Insurance Investigator,Insurance Investigator,0,1951,\N,60,"Crime,Drama,Film-Noir",6.1,90
tt0128273,English,movie,Invaders from the Deep,Invaders from the Deep,0,1981,\N,92,Sci-Fi,3.1,199
tt0128274,English,movie,Invasion of the Star Creatures,Invasion of the Star Creatures,0,1962,\N,70,"Comedy,Sci-Fi",3.1,890
tt0128276,English,movie,Irish Eyes,Irish Eyes,0,1918,\N,50,Drama,3.1,29
tt0128278,English,movie,Instinct,Instinct,0,1999,\N,126,"Drama,Thriller",6.5,33651
tt0128286,English,movie,A Journey to Jerusalem,A Journey to Jerusalem,0,1968,\N,84,"Documentary,Music",7.7,16
tt0128289,English,movie,"Katuwira, donde nacen y mueren los sueños","Katuwira, donde nacen y mueren los sue√±os",0,1996,\N,85,"Adventure,Sci-Fi",5.5,30
tt0128318,English,movie,"Lovers, Liars and Thieves","Lovers, Liars and Thieves",0,1997,\N,90,Thriller,3.6,32
tt0128326,English,movie,The Manhandlers,The Manhandlers,0,1974,\N,87,"Action,Crime,Drama",4.8,96
tt0128330,English,movie,Maschio latino cercasi,Maschio latino cercasi,0,1977,\N,90,Comedy,4.4,62
tt0128347,English,movie,Midnight Blue,Midnight Blue,0,1979,\N,83,Thriller,4.6,105
