tconst, posterUrl, review
tt0375173,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqM3DZZHxigBndC98hOu0h7MqBIEdeYR7R1akvGygcSLQO_vXf,"Anchored by Michael Caine's charmingly droll performance, Alfie is an equally raucous and heart-rending portrait of romance in the Swinging '60s."
tt0126029,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSnvRBJ9yORH2QcFIrBNn_t7O9_RvQyW5U-lqEzw9vr9mhLanMj,"While simultaneously embracing and subverting fairy tales, the irreverent Shrek also manages to tweak Disney's nose, provide a moral message to children, and offer viewers a funny, fast-paced ride."
